folder,env_idx,pheno_idx,seed,environment,rootLength_cm,shootDW_g,waterUptake_cm3
MaizeSCD4_0_0,4,0,0,Jalisco_rainfed,0.00000000,0.00000000,0.00000000
MaizeSCD4_0_1,4,0,1,Jalisco_rainfed,3469.81150938,3.07951118,923.71884185
MaizeSCD4_0_2,4,0,2,Jalisco_rainfed,3994.27030649,3.24774786,1036.86309190
MaizeSCD4_0_3,4,0,3,Jalisco_rainfed,2722.23102300,1.91484103,647.43872953
MaizeSCD4_0_4,4,0,4,Jalisco_rainfed,3990.24879748,3.13801907,1069.78045885
MaizeSCD4_1_0,4,1,0,Jalisco_rainfed,3526.48711383,3.36298183,767.24427554
MaizeSCD4_1_1,4,1,1,Jalisco_rainfed,4361.83372430,3.30294940,741.22079611
MaizeSCD4_1_2,4,1,2,Jalisco_rainfed,3267.54048093,3.35856648,768.88888843
MaizeSCD4_1_3,4,1,3,Jalisco_rainfed,3479.44738121,2.55957322,600.87128687
MaizeSCD4_1_4,4,1,4,Jalisco_rainfed,2873.69095081,2.76737591,667.82200871
MaizeSCD4_10_0,4,10,0,Jalisco_rainfed,4021.74954340,3.26166702,1019.73320144
MaizeSCD4_10_1,4,10,1,Jalisco_rainfed,3521.77906208,2.80128200,824.22432254
MaizeSCD4_10_2,4,10,2,Jalisco_rainfed,3623.49935326,2.82808726,816.80700534
MaizeSCD4_10_3,4,10,3,Jalisco_rainfed,3449.56742049,2.89809511,863.99708603
MaizeSCD4_10_4,4,10,4,Jalisco_rainfed,3661.54689148,3.20106132,995.83541576
MaizeSCD4_11_0,4,11,0,Jalisco_rainfed,2615.41177893,3.17280916,920.25666363
MaizeSCD4_11_1,4,11,1,Jalisco_rainfed,2936.11074162,3.30428190,871.30962201
MaizeSCD4_11_2,4,11,2,Jalisco_rainfed,2975.29199544,3.25905591,918.37763539
MaizeSCD4_11_3,4,11,3,Jalisco_rainfed,2618.03721015,3.04293150,912.85237256
MaizeSCD4_11_4,4,11,4,Jalisco_rainfed,2697.46024117,3.16805486,926.08631682
MaizeSCD4_12_0,4,12,0,Jalisco_rainfed,2772.56184999,3.21893485,895.08609798
MaizeSCD4_12_1,4,12,1,Jalisco_rainfed,0.00000000,0.00000000,0.00000000
MaizeSCD4_12_2,4,12,2,Jalisco_rainfed,0.00000000,0.00000000,0.00000000
MaizeSCD4_12_3,4,12,3,Jalisco_rainfed,0.00000000,0.00000000,0.00000000
MaizeSCD4_12_4,4,12,4,Jalisco_rainfed,0.00000000,0.00000000,0.00000000
MaizeSCD4_13_0,4,13,0,Jalisco_rainfed,0.00000000,0.00000000,0.00000000
MaizeSCD4_13_1,4,13,1,Jalisco_rainfed,3278.65005972,3.28445614,738.13622737
MaizeSCD4_13_2,4,13,2,Jalisco_rainfed,0.00000000,0.00000000,0.00000000
MaizeSCD4_13_3,4,13,3,Jalisco_rainfed,0.00000000,0.00000000,0.00000000
MaizeSCD4_13_4,4,13,4,Jalisco_rainfed,0.00000000,0.00000000,0.00000000
MaizeSCD4_14_0,4,14,0,Jalisco_rainfed,0.00000000,0.00000000,0.00000000
MaizeSCD4_14_1,4,14,1,Jalisco_rainfed,0.00000000,0.00000000,0.00000000
MaizeSCD4_14_2,4,14,2,Jalisco_rainfed,0.00000000,0.00000000,0.00000000
MaizeSCD4_14_3,4,14,3,Jalisco_rainfed,0.00000000,0.00000000,0.00000000
MaizeSCD4_14_4,4,14,4,Jalisco_rainfed,0.00000000,0.00000000,0.00000000
MaizeSCD4_15_0,4,15,0,Jalisco_rainfed,0.00000000,0.00000000,0.00000000
MaizeSCD4_15_1,4,15,1,Jalisco_rainfed,4460.34385103,3.37702854,762.08204195
MaizeSCD4_15_2,4,15,2,Jalisco_rainfed,3883.62508798,3.99659342,905.23182408
MaizeSCD4_15_3,4,15,3,Jalisco_rainfed,2233.63844463,1.83241417,498.48074950
